               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.034236,            0.026443,           0.0022245,             0.90723,             0.83879,              0.8995,              0.6307,            0.029717,             0.02023,           0.0023343,            0.004199,            0.004199,            0.004199
                 113,             0.03374,            0.026173,           0.0022155,              0.8963,             0.84763,             0.90005,             0.63074,            0.029695,            0.020207,           0.0023386,           0.0041225,           0.0041225,           0.0041225
                 114,            0.034123,            0.026279,           0.0022633,             0.90121,             0.84439,             0.89994,             0.63174,            0.029677,            0.020202,            0.002322,           0.0040462,           0.0040462,           0.0040462
                 115,            0.034233,            0.026469,           0.0022677,             0.90302,             0.84235,                 0.9,             0.63243,             0.02967,            0.020201,            0.002341,           0.0039702,           0.0039702,           0.0039702
                 116,            0.033851,            0.026184,           0.0022054,             0.89815,             0.84598,             0.89976,             0.63251,            0.029624,            0.020192,           0.0023159,           0.0038944,           0.0038944,           0.0038944
                 117,            0.033776,            0.025896,           0.0021788,             0.89352,             0.84838,             0.90001,             0.63272,            0.029575,            0.020189,           0.0022852,            0.003819,            0.003819,            0.003819
                 118,             0.03377,            0.026151,           0.0021466,             0.89535,             0.84919,             0.89921,              0.6331,            0.029568,            0.020188,           0.0023026,           0.0037438,           0.0037438,           0.0037438
                 119,            0.033409,            0.026029,           0.0021262,             0.90361,              0.8434,             0.89916,             0.63362,             0.02961,            0.020216,           0.0022942,            0.003669,            0.003669,            0.003669
                 120,            0.033724,            0.026287,           0.0021616,             0.90543,             0.84232,             0.89921,             0.63241,             0.02962,            0.020227,           0.0022774,           0.0035945,           0.0035945,           0.0035945
                 121,            0.033604,            0.026032,           0.0021579,             0.91064,              0.8385,             0.90007,              0.6328,            0.029588,            0.020219,            0.002251,           0.0035204,           0.0035204,           0.0035204
                 122,            0.033746,            0.026099,           0.0022241,             0.90519,             0.84117,             0.89995,             0.63322,             0.02959,            0.020219,           0.0022811,           0.0034466,           0.0034466,           0.0034466
                 123,            0.033512,            0.025639,           0.0021986,             0.90662,             0.84099,             0.90042,             0.63349,            0.029568,            0.020219,           0.0022736,           0.0033732,           0.0033732,           0.0033732
                 124,            0.033367,            0.025978,           0.0021334,             0.90446,             0.84587,             0.90023,             0.63388,            0.029569,            0.020209,           0.0022877,           0.0033003,           0.0033003,           0.0033003
                 125,            0.033034,            0.025703,           0.0020937,             0.90473,             0.84254,             0.89964,             0.63363,             0.02957,             0.02022,           0.0022667,           0.0032278,           0.0032278,           0.0032278
                 126,            0.033182,            0.025847,           0.0020776,             0.90463,             0.84268,             0.90056,             0.63421,            0.029581,            0.020208,           0.0022741,           0.0031557,           0.0031557,           0.0031557
                 127,            0.033419,            0.025638,           0.0021288,             0.90564,             0.84161,             0.90057,             0.63466,            0.029572,            0.020181,           0.0023151,           0.0030841,           0.0030841,           0.0030841
                 128,            0.033207,            0.025662,           0.0021083,               0.903,             0.84384,             0.90036,             0.63502,             0.02956,            0.020187,           0.0023381,            0.003013,            0.003013,            0.003013
                 129,            0.033117,            0.025617,           0.0022119,             0.90306,             0.84517,             0.90074,             0.63441,            0.029532,            0.020191,            0.002351,           0.0029424,           0.0029424,           0.0029424
                 130,            0.033351,            0.025651,           0.0020836,             0.90504,             0.84371,             0.90067,             0.63524,            0.029515,            0.020203,           0.0023791,           0.0028723,           0.0028723,           0.0028723
                 131,            0.033048,            0.025738,           0.0020556,             0.90491,             0.84388,             0.90094,             0.63551,            0.029488,            0.020214,           0.0023739,           0.0028027,           0.0028027,           0.0028027
                 132,            0.032976,            0.025776,           0.0021253,             0.90807,             0.84248,             0.90183,             0.63499,            0.029465,            0.020218,           0.0023647,           0.0027337,           0.0027337,           0.0027337
                 133,            0.032781,            0.024931,           0.0021419,             0.90753,             0.84171,             0.90201,              0.6357,            0.029451,            0.020233,           0.0023811,           0.0026653,           0.0026653,           0.0026653
                 134,             0.03284,            0.024971,           0.0021308,             0.90489,             0.84573,             0.90215,             0.63492,            0.029442,            0.020238,           0.0023725,           0.0025975,           0.0025975,           0.0025975
                 135,            0.032725,            0.025654,           0.0020753,             0.90424,             0.84633,             0.90154,             0.63476,             0.02944,             0.02025,           0.0024011,           0.0025302,           0.0025302,           0.0025302
                 136,            0.032743,            0.025194,           0.0021331,             0.90247,             0.84657,             0.90179,             0.63571,            0.029453,            0.020251,           0.0024298,           0.0024636,           0.0024636,           0.0024636
